Keyword,Available,Unavailable,Description,SourceLink
inflammation,Medicol Advance 400,"Medicol, Tylenol","Medicol Advance 400 contains Ibuprofen which belongs to a group of medicines called non-steroidal anti-inflammatory drugs (NSAIDs). 
Like other NSAIDs, Ibuprofen works by changing the body’s chemical response to pain, swelling and fever resulting in relief of 
symptoms of inflammation (e.g., swelling, redness) and relief of pain and/or fever. Ibuprofen given as a softgel capsule is absorbed 
more rapidly by the body compared to an ordinary tablet.",Medicol 400 mg | Pain Relief - Unilab
migraine ,Medicol Advance 400,Tylenol,"Medicol Advance 400 contains Ibuprofen which belongs to a group of medicines called non-steroidal anti-inflammatory drugs (NSAIDs). 
Like other NSAIDs, Ibuprofen works by changing the body’s chemical response to pain, swelling and fever resulting in relief of 
symptoms of inflammation (e.g., swelling, redness) and relief of pain and/or fever. Ibuprofen given as a softgel capsule is absorbed 
more rapidly by the body compared to an ordinary tablet.",https://www.unilab.com.ph/products/medicol-advance-400
dysmenorrhea,Medicol Advance 400,Buscopan Venus,"Medicol Advance 400 contains Ibuprofen which belongs to a group of medicines called non-steroidal anti-inflammatory drugs (NSAIDs). 
Like other NSAIDs, Ibuprofen works by changing the body’s chemical response to pain, swelling and fever resulting in relief of 
symptoms of inflammation (e.g., swelling, redness) and relief of pain and/or fever. Ibuprofen given as a softgel capsule is absorbed 
more rapidly by the body compared to an ordinary tablet.",https://www.unilab.com.ph/products/medicol-advance-400
,,,,
,,,,
clogged nose,"Neozep Forte, Neozep Non-Drowsy",Decolgen,"Neozep Forte is for fast relief from colds and all its symptoms which contains: Phenylephrine HCl (Nasal decongestant) reduces swelling 
and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal drip 
leading to cough. Chlorphenamine Maleate (Anti-Allergy) an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, 
and itchy, watery eyes. Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.

Neozep Non-Drowsy is for dast relief from colds without the drowsy feeling which contains: Phenylephrine HCl (Nasal decongestant) reduces 
swelling and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal
drip leading to cough. And Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.",https://www.unilab.com.ph/products/neozep
sinusitis,"Neozep Forte, Neozep Non-Drowsy",Decolgen,"Neozep Forte is for fast relief from colds and all its symptoms which contains: Phenylephrine HCl (Nasal decongestant) reduces swelling 
and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal drip 
leading to cough. Chlorphenamine Maleate (Anti-Allergy) an antihistamine that relieves symptoms of allergy such as runny nose, sneezing, 
and itchy, watery eyes. Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.

Neozep Non-Drowsy is for dast relief from colds without the drowsy feeling which contains: Phenylephrine HCl (Nasal decongestant) reduces 
swelling and obstruction of nasal passageways including sinuses to improve flow of air and make breathing easier. It also reduces postnasal
drip leading to cough. And Paracetamol is an effective fever reducer and pain reliever for symptoms such as headache. Phenylephrine HCl + 
Chlorphenamine Maleate + Paracetamol is expected to start taking effect in as fast as 15 minutes.",ttps://www.unilab.com.ph/products/neozep
,,,,
,,,,
hyperacidity,Kremil-S Advance,Gaviscon,"Kremil-S contains Famotidine, Calcium Carbonate and Magnesium Hydroxide. Famotidine, a histamine H2-receptor antagonist, reduces 
acid production in the stomach.Calcium Carbonate and Magnesium Hydroxide are antacids that neutralize acid in the stomach. This 
medicine also provides 321 mg Calcium and 71 mg Magnesium per chewable tablet.",https://www.unilab.com.ph/products/kremil-s-advance
heartburn,Kremil-S Advance,Gaviscon,"Kremil-S contains Famotidine, Calcium Carbonate and Magnesium Hydroxide. Famotidine, a histamine H2-receptor antagonist, reduces 
acid production in the stomach.Calcium Carbonate and Magnesium Hydroxide are antacids that neutralize acid in the stomach. This 
medicine also provides 321 mg Calcium and 71 mg Magnesium per chewable tablet.",https://www.unilab.com.ph/products/kremil-s-advance
acid indigestion,Kremil-S Advance,Gaviscon,"Kremil-S contains Famotidine, Calcium Carbonate and Magnesium Hydroxide. Famotidine, a histamine H2-receptor antagonist, reduces 
acid production in the stomach.Calcium Carbonate and Magnesium Hydroxide are antacids that neutralize acid in the stomach. This 
medicine also provides 321 mg Calcium and 71 mg Magnesium per chewable tablet.",https://www.unilab.com.ph/products/kremil-s-advance
